Ticker	Market Cap	PE Ratio	Beta	EPS	Industry	Sector
PNR	17706156032	26.79	1.189	4	Specialty Industrial Machinery	Industrials
PEP	2.16733E+11	23.29941	0.542	6.78	Beverages - Non-Alcoholic	Consumer Defensive
PFE	1.44962E+11	34.106667	0.615	0.75	Drug Manufacturers - General	Healthcare
PCG	43321819136	15.4296875	1.035	1.28	Utilities - Regulated Electric	Utilities
PM	1.96873E+11	20.06656	0.56	6.31	Tobacco	Consumer Defensive
PSX	50682011648	15.673053	1.319	7.83	Oil & Gas Refining & Marketing	Energy
PNW	9954435072	16.456766	0.518	5.32	Utilities - Regulated Electric	Utilities
PNC	79951773696	17.032967	1.121	11.83	Banks - Regional	Financial Services
POOL	13812244480	31.154509	1.008	11.65	Industrial Distribution	Industrials
PPG	28807440384	19.678288	1.254	6.31	Specialty Chemicals	Basic Materials
PPL	23829051392	29.09009	0.834	1.11	Utilities - Regulated Electric	Utilities
PFG	18048770048		1.203	-0.74	Asset Management	Financial Services
PG	4.02853E+11	29.493101	0.414	5.8	Household & Personal Products	Consumer Defensive
PGR	1.47507E+11	18.312727	0.366	13.75	Insurance - Property & Casualty	Financial Services
PLD	1.02926E+11	33.574017	1.094	3.31	REIT - Industrial	Real Estate
PRU	42882568192	10.728407	1.282	11.23	Insurance - Life	Financial Services
PEG	43250909184	21.329237	0.626	4.07	Utilities - Regulated Electric	Utilities
PTC	23867228160	63.679485	1.174	3.12	Software - Application	Technology
PSA	55641624576	32.879917	0.69	9.66	REIT - Industrial	Real Estate
PHM	24285810688	8.739483	1.641	13.55	Residential Construction	Consumer Cyclical
QRVO	6578113024		1.487	-1.45	Semiconductors	Technology
PWR	49833811968	62.51852	1.009	5.4	Engineering & Construction	Industrials
QCOM	1.76127E+11	17.732662	1.286	8.94	Semiconductors	Technology
DGX	17300324352	20.833334	0.891	7.44	Diagnostics & Research	Healthcare
RL	14124258304	21.682554	1.504	10.49	Apparel Manufacturing	Consumer Cyclical
RJF	32747182080	16.562437	1.002	9.69	Asset Management	Financial Services
RTX	1.56728E+11	33.933716	0.54	3.47	Aerospace & Defense	Industrials
O	48434176000	52.704765	0.996	1.05	REIT - Retail	Real Estate
REG	13762713600	35.55189	1.218	2.12	REIT - Retail	Real Estate
REGN	80362553344	18.08358	0.142	40.44	Biotechnology	Healthcare
RF	22821574656	14.186441	1.182	1.77	Banks - Regional	Financial Services
RSG	65439375360	33.4352	0.707	6.25	Waste Management	Industrials
RMD	35013783552	31.633953	0.687	7.54	Medical Instruments & Supplies	Healthcare
RVTY	14110130176	55.473686	1.056	2.09	Diagnostics & Research	Healthcare
ROK	33552990208	35.850426	1.359	8.29	Specialty Industrial Machinery	Industrials
ROL	23619555328	50.27835	0.701	0.97	Personal Services	Consumer Cyclical
ROP	58296115200	40.004414	1.029	13.59	Software - Application	Technology
ROST	50653999104	24.139936	1.1	6.36	Apparel Retail	Consumer Cyclical
RCL	65920086016	24.566133	2.6	9.98	Travel Services	Consumer Cyclical
SPGI	1.56934E+11	44.63813	1.183	11.33	Financial Data & Stock Exchanges	Financial Services
CRM	3.39075E+11	58.466995	1.288	6.06	Software - Application	Technology
SBAC	23040028672	33.798107	0.672	6.34	REIT - Specialty	Real Estate
SLB	56796676096	12.932477	1.532	3.11	Oil & Gas Equipment & Services	Energy
STX	20253997056	24.741602	1.07	3.87	Computer Hardware	Technology
SRE	56473853952	19.638767	0.759	4.54	Utilities - Diversified	Utilities
NOW	2.31302E+11	175.44601	0.986	6.39	Software - Application	Technology
SHW	91800412160	36.2326	1.175	10.06	Specialty Chemicals	Basic Materials
SPG	67434950656	23.851261	1.768	7.53	REIT - Retail	Real Estate
SWKS	14549612544	24.655827	1.205	3.69	Semiconductors	Technology
SJM	12081408000	22.935354	0.246	4.95	Packaged Foods	Consumer Defensive
SW	27947980800	74.625	1.034	0.72	Packaging & Containers	Consumer Cyclical
SNA	18639652864	18.248201	0.954	19.46	Tools & Accessories	Industrials
SOLV	12016975872	183.05263		0.38	Health Information Services	Healthcare
SO	91160576000	19.393938	0.509	4.29	Utilities - Regulated Electric	Utilities
LUV	19803316224		1.153	-0.08	Airlines	Industrials
SWK	12764779520		1.255	-1.24	Tools & Accessories	Industrials
SBUX	1.10455E+11	29.432024	0.962	3.31	Restaurants	Consumer Cyclical
STT	29449949184	15.746081	1.48	6.38	Asset Management	Financial Services
STLD	18630219776	11.004497	1.325	11.12	Steel	Basic Materials
STE	21145077760	35.94295	0.851	5.96	Medical Devices	Healthcare
SYK	1.42804E+11	40.150055	0.92	9.33	Medical Devices	Healthcare
SMCI	21343844352	18.134329	1.279	2.01	Computer Hardware	Technology
SYF	26498752512	8.838961	1.593	7.7	Credit Services	Financial Services
SNPS	78332043264	54.94919	1.076	9.25	Software - Infrastructure	Technology
SYY	39278428160	20.55527	1.2	3.89	Food Distribution	Consumer Defensive
TMUS	2.69164E+11	26.446978	0.496	8.77	Telecom Services	Communication Services
TROW	26556887040	13.0931	1.423	9.13	Asset Management	Financial Services
TTWO	32575297536		0.85	-21.2	Electronic Gaming & Multimedia	Communication Services
TPR	14727875584	18.31884	1.556	3.45	Luxury Goods	Consumer Cyclical
TRGP	40258793472	33.32491	2.237	5.54	Oil & Gas Midstream	Energy
TGT	61638680576	14.265111	1.242	9.43	Discount Stores	Consumer Defensive
TEL	44901220352	14.515473	1.328	10.34	Electronic Components	Technology
TDY	22138421248	24.04099	1.007	19.76	Scientific & Technical Instruments	Technology
TFX	8366368256	35.742065	1.177	5.04	Medical Instruments & Supplies	Healthcare
TER	20067731456	39.24204	1.515	3.14	Semiconductor Equipment & Materials	Technology
TSLA	1.40032E+12	119.18852	2.295	3.66	Auto Manufacturers	Consumer Cyclical
TXN	1.74772E+11	35.611523	0.98	5.38	Semiconductors	Technology
TPL	27546214400	61.35977	1.589	19.54	Oil & Gas E&P	Energy
TXT	15011631104	17.706781	1.244	4.57	Aerospace & Defense	Industrials
TMO	2.01535E+11	33.013157	0.792	15.96	Diagnostics & Research	Healthcare
TJX	1.40351E+11	29.445755	0.893	4.24	Apparel Retail	Consumer Cyclical
TSCO	30497193984	27.767511	0.814	10.28	Specialty Retail	Consumer Cyclical
TT	89865584640	36.63853	1.221	10.9	Building Products & Equipment	Industrials
TDG	70800818176	49.261345	1.423	25.56	Aerospace & Defense	Industrials
TRV	55914782720	12.656733	0.63	19.46	Insurance - Property & Casualty	Financial Services
TRMB	17971265536	12.30602	1.489	5.98	Scientific & Technical Instruments	Technology
TFC	60773863424		1.035	-4.86	Banks - Regional	Financial Services
TYL	26177765376	112.43566	0.771	5.44	Software - Application	Technology
TSN	21522655232	26.88	0.775	2.25	Farm Products	Consumer Defensive
USB	79608324096	15.701538	1.04	3.25	Banks - Regional	Financial Services
UBER	1.26195E+11	29.522167	1.337	2.03	Software - Application	Technology
UDR	16705600512	117.02632	0.847	0.38	REIT - Residential	Real Estate
ULTA	19667040256	16.977982	1.326	24.98	Specialty Retail	Consumer Cyclical
UNP	1.42458E+11	21.597425	1.056	10.88	Railroads	Industrials
UAL	31279396864	11.336114	1.393	8.39	Airlines	Industrials
UPS	1.0988E+11	19.450151	0.982	6.62	Integrated Freight & Logistics	Industrials
URI	51108036608	20.36663	1.682	38.24	Rental & Leasing Services	Industrials
UNH	4.78989E+11	33.90749	0.591	15.35	Healthcare Plans	Healthcare
UHS	12361953280	12.485009	1.297	15.01	Medical Care Facilities	Healthcare
VLO	40883785728	11.367958	1.374	11.36	Oil & Gas Refining & Marketing	Energy
VTR	25132904448		1.39	-0.14	REIT - Healthcare Facilities	Real Estate
VLTO	25774440448	32.166668		3.24	Pollution & Treatment Controls	Industrials
VRSN	18970138624	22.98021	0.911	8.59	Software - Infrastructure	Technology
VRSK	40012140544	43.659477	0.862	6.49	Consulting Services	Industrials
VZ	1.77983E+11	18.30303	0.418	2.31	Telecom Services	Communication Services
VRTX	1.19424E+11		0.394	-1.9	Biotechnology	Healthcare
VTRS	15075042304		0.929	-0.73	Drug Manufacturers - Specialty & Generic	Healthcare
VICI	32816310272	11.529629	0.961	2.7	REIT - Diversified	Real Estate
V	6.09485E+11	32.34738	0.952	9.73	Credit Services	Financial Services
VST	49295343616	27.337734	1.111	5.3	Utilities - Independent Power Producers	Utilities
VMC	36418461696	43.08906	0.805	6.4	Building Materials	Basic Materials
WRB	23153752064	15.619536	0.621	3.89	Insurance - Property & Casualty	Financial Services
GWW	55645822976	30.956923	1.151	36.91	Industrial Distribution	Industrials
WAB	34322993152	33.33556	1.272	5.99	Railroads	Industrials
WBA	8971640832		0.669	-10.01	Pharmaceutical Retailers	Healthcare
WMT	7.57147E+11	38.94628	0.516	2.42	Discount Stores	Consumer Defensive
DIS	2.05252E+11	41.669117	1.398	2.72	Entertainment	Communication Services
WBD	29609760768		1.483	-4.58	Entertainment	Communication Services
WM	85571231744	32.549618	0.747	6.55	Waste Management	Industrials
WAT	22459641856	36.093513	0.973	10.48	Diagnostics & Research	Healthcare
WEC	30287730688	23.408312	0.438	4.09	Utilities - Regulated Electric	Utilities
WFC	2.34529E+11	14.644491	1.136	4.81	Banks - Diversified	Financial Services
WELL	80401727488	81.72151	1.194	1.58	REIT - Healthcare Facilities	Real Estate
WST	23903012864	49.041603	1.003	6.73	Medical Instruments & Supplies	Healthcare
WDC	22512506880	71.56044	1.394	0.91	Computer Hardware	Technology
WY	21841055744	41.17808	1.428	0.73	REIT - Specialty	Real Estate
WMB	66350718976	23.06356	1.062	2.36	Oil & Gas Midstream	Energy
WTW	31364759552		0.742	-7.22	Insurance Brokers	Financial Services
WYNN	10380812288	11.348139	1.802	8.33	Resorts & Casinos	Consumer Cyclical
XEL	39117365248	20.213652	0.398	3.37	Utilities - Regulated Electric	Utilities
XYL	29299165184	34.555874	1.05	3.49	Specialty Industrial Machinery	Industrials
YUM	38232862720	25.5597	1.095	5.36	Restaurants	Consumer Cyclical
ZBRA	20817172480	54.910206	1.645	7.35	Communication Equipment	Technology
ZBH	21249159168	20.37023	1.021	5.24	Medical Devices	Healthcare
ZTS	80388571136	33.42964	0.896	5.33	Drug Manufacturers - Specialty & Generic	Healthcare
